iter	Passed	Remaining
0	0	937
1	1	797
2	2	777
3	3	759
4	3	750
5	4	746
6	5	760
7	6	748
8	6	747
9	7	748
10	8	760
11	9	764
12	10	771
13	10	766
14	11	762
15	12	763
16	13	767
17	14	764
18	14	771
19	15	780
20	16	786
21	17	778
22	18	775
23	19	776
24	20	780
25	20	779
26	21	785
27	22	784
28	23	786
29	24	789
30	25	784
31	25	779
32	26	779
33	28	801
34	29	803
35	29	799
36	30	795
37	31	792
38	32	791
39	33	795
40	33	791
41	34	789
42	35	788
43	36	785
44	37	785
45	37	784
46	38	779
47	40	793
48	40	792
49	41	790
50	42	788
51	43	785
52	44	787
53	44	786
54	45	786
55	46	784
56	47	784
57	48	783
58	49	782
59	49	779
60	50	777
61	51	774
62	51	771
63	52	769
64	53	766
65	54	765
66	54	764
67	56	774
68	57	772
69	58	770
70	58	770
71	59	769
72	60	768
73	61	765
74	61	763
75	62	763
76	63	762
77	64	760
78	65	759
79	65	757
80	66	756
81	67	755
82	68	753
83	68	752
84	69	750
85	70	748
86	71	747
87	72	746
88	72	744
89	73	742
90	74	741
91	75	741
92	75	740
93	76	738
94	77	736
95	78	735
96	78	733
97	80	738
98	81	737
99	81	735
100	82	734
101	83	732
102	84	731
103	84	729
104	85	728
105	86	727
106	87	726
107	87	724
108	88	722
109	89	726
110	90	726
111	91	725
112	92	724
113	93	725
114	94	725
115	95	725
116	96	728
117	97	729
118	98	727
119	99	726
120	99	724
121	100	723
122	101	722
123	102	721
124	102	720
125	103	718
126	104	718
127	105	717
128	106	716
129	107	716
130	108	716
131	108	716
132	109	715
133	110	713
134	111	712
135	112	717
136	113	715
137	114	714
138	115	715
139	116	714
140	117	714
141	118	714
142	119	713
143	119	712
144	120	710
145	122	714
146	122	713
147	123	712
148	124	711
149	125	709
150	125	708
151	126	706
152	127	705
153	128	703
154	128	702
155	129	701
156	130	700
157	131	699
158	132	698
159	132	697
160	133	696
161	134	695
162	135	694
163	136	693
164	136	692
165	137	692
166	138	691
167	139	690
168	140	689
169	141	688
170	142	688
171	142	687
172	143	686
173	144	685
174	145	684
175	146	684
176	146	683
177	147	681
178	148	680
179	149	679
180	149	678
181	150	677
182	151	676
183	152	675
184	153	674
185	153	673
186	155	675
187	156	674
188	156	673
189	157	672
190	158	671
191	159	670
192	159	668
193	160	667
194	161	666
195	162	665
196	163	665
197	163	663
198	164	662
199	165	661
200	166	660
201	166	659
202	167	658
203	168	657
204	169	656
205	170	655
206	170	654
207	171	653
208	172	652
209	173	651
210	174	651
211	174	649
212	175	648
213	176	647
214	177	646
215	177	645
216	178	644
217	179	643
218	180	643
219	181	642
220	181	641
221	182	640
222	183	639
223	184	638
224	184	636
225	185	636
226	186	634
227	187	633
228	187	632
229	188	631
230	190	632
231	190	631
232	191	631
233	192	629
234	193	628
235	193	627
236	194	627
237	195	626
238	196	624
239	197	624
240	197	622
241	198	621
242	199	620
243	200	620
244	201	619
245	201	618
246	202	617
247	203	616
248	204	615
249	204	614
250	205	613
251	206	612
252	206	610
253	207	609
254	208	608
255	208	607
256	209	605
257	210	604
258	210	603
259	211	602
260	212	601
261	213	600
262	213	598
263	214	597
264	215	598
265	216	597
266	217	596
267	218	595
268	218	594
269	219	593
270	220	592
271	221	592
272	221	591
273	222	590
274	223	589
275	224	588
276	225	587
277	225	586
278	226	586
279	227	585
280	228	584
281	229	583
282	230	583
283	231	582
284	231	581
285	232	580
286	233	580
287	234	580
288	235	579
289	236	578
290	237	577
291	238	577
292	238	576
293	239	575
294	240	574
295	241	573
296	242	572
297	242	571
298	243	571
299	244	570
300	245	569
301	245	568
302	246	567
303	247	567
304	248	566
305	249	565
306	250	564
307	250	563
308	251	562
309	252	561
310	253	560
311	253	560
312	254	559
313	255	558
314	256	557
315	256	555
316	257	555
317	258	554
318	259	553
319	260	552
320	260	551
321	261	550
322	262	549
323	263	549
324	263	548
325	264	547
326	265	547
327	266	546
328	267	545
329	268	544
330	269	543
331	269	543
332	270	542
333	271	541
334	272	540
335	273	539
336	273	539
337	274	537
338	275	537
339	276	536
340	277	535
341	277	534
342	278	533
343	279	533
344	280	532
345	281	531
346	282	530
347	282	530
348	283	529
349	284	528
350	285	527
351	286	526
352	287	526
353	288	526
354	289	525
355	290	524
356	290	524
357	291	523
358	293	523
359	293	522
360	294	521
361	295	520
362	296	520
363	297	520
364	298	519
365	299	518
366	300	517
367	300	516
368	301	515
369	302	514
370	303	514
371	304	513
372	304	512
373	305	511
374	306	510
375	307	511
376	308	510
377	309	509
378	310	508
379	311	507
380	311	506
381	312	505
382	313	504
383	314	504
384	314	503
385	315	502
386	317	502
387	318	501
388	318	501
389	319	500
390	320	499
391	321	498
392	322	497
393	323	497
394	324	496
395	324	495
396	325	494
397	326	493
398	327	492
399	328	492
400	328	491
401	329	490
402	330	489
403	331	488
404	332	487
405	333	487
406	333	486
407	334	485
408	335	484
409	335	483
410	336	482
411	337	481
412	338	480
413	339	479
414	339	479
415	340	478
416	341	477
417	342	476
418	343	475
419	344	475
420	344	474
421	345	473
422	346	472
423	347	471
424	348	470
425	348	469
426	349	469
427	350	468
428	351	467
429	352	466
430	352	465
431	353	465
432	354	464
433	355	463
434	356	462
435	357	461
436	357	460
437	358	459
438	359	459
439	360	458
440	360	457
441	361	456
442	362	455
443	363	455
444	364	454
445	364	453
446	365	452
447	366	452
448	367	451
449	368	450
450	369	449
451	370	448
452	371	448
453	371	447
454	372	446
455	373	445
456	374	444
457	375	443
458	375	442
459	376	442
460	377	441
461	378	440
462	379	439
463	380	439
464	380	438
465	381	437
466	382	436
467	383	435
468	384	434
469	384	433
470	385	432
471	386	431
472	386	431
473	388	431
474	389	430
475	389	429
476	390	428
477	391	427
478	392	426
479	393	426
480	394	425
481	395	424
482	395	423
483	396	422
484	397	422
485	398	421
486	399	420
487	399	419
488	400	418
489	401	417
490	402	416
491	402	415
492	403	414
493	404	414
494	405	413
495	406	412
496	407	412
497	407	411
498	408	410
499	409	409
500	410	409
501	411	408
502	412	407
503	413	406
504	413	405
505	414	404
506	415	404
507	416	403
508	417	402
509	417	401
510	418	400
511	419	399
512	420	399
513	421	398
514	421	397
515	422	396
516	423	395
517	424	394
518	425	394
519	426	393
520	426	392
521	427	391
522	428	391
523	429	390
524	430	389
525	431	388
526	432	387
527	432	386
528	433	385
529	434	385
530	436	385
531	436	384
532	437	383
533	438	382
534	439	381
535	440	380
536	440	380
537	441	379
538	442	378
539	443	377
540	444	376
541	444	375
542	445	375
543	446	374
544	447	373
545	448	372
546	448	371
547	449	371
548	450	370
549	451	369
550	452	368
551	453	367
552	453	366
553	454	366
554	455	365
555	456	364
556	457	363
557	458	363
558	459	362
559	459	361
560	460	360
561	461	359
